Pavarde        Vardas         Galutinis (Vid.)    Galutinis (Med.)    
Pavarde6004    Vardas6004     6.75                7.20                
Pavarde6005    Vardas6005     5.72                5.80                
Pavarde6006    Vardas6006     5.43                5.40                
Pavarde6007    Vardas6007     4.91                5.20                
Pavarde6008    Vardas6008     5.17                4.40                
Pavarde6009    Vardas6009     5.92                5.60                
Pavarde6010    Vardas6010     3.76                4.00                
Pavarde6011    Vardas6011     7.64                7.80                
Pavarde6012    Vardas6012     5.57                5.60                
Pavarde6013    Vardas6013     7.07                6.80                
Pavarde6014    Vardas6014     5.39                5.20                
Pavarde6015    Vardas6015     7.40                7.00                
Pavarde6016    Vardas6016     7.61                7.80                
Pavarde6017    Vardas6017     2.55                2.60                
Pavarde6018    Vardas6018     3.28                3.20                
Pavarde6019    Vardas6019     6.28                6.20                
Pavarde6020    Vardas6020     4.07                3.80                
Pavarde6021    Vardas6021     7.55                7.20                
Pavarde6022    Vardas6022     3.63                4.00                
Pavarde6023    Vardas6023     6.39                6.60                
Pavarde6024    Vardas6024     5.48                5.80                
Pavarde6025    Vardas6025     5.97                6.00                
Pavarde6026    Vardas6026     8.21                8.00                
Pavarde6027    Vardas6027     4.72                4.40                
Pavarde6028    Vardas6028     6.31                5.80                
Pavarde6029    Vardas6029     4.04                3.80                
Pavarde6030    Vardas6030     5.36                5.20                
Pavarde6031    Vardas6031     8.27                8.40                
Pavarde6032    Vardas6032     4.83                5.20                
Pavarde6033    Vardas6033     4.59                4.40                
Pavarde6034    Vardas6034     4.79                4.60                
Pavarde6035    Vardas6035     3.20                2.80                
Pavarde6036    Vardas6036     5.44                5.60                
Pavarde6037    Vardas6037     8.59                8.80                
Pavarde6038    Vardas6038     6.25                5.80                
Pavarde6039    Vardas6039     6.03                6.00                
Pavarde6040    Vardas6040     5.47                5.60                
Pavarde6041    Vardas6041     2.68                2.60                
Pavarde6042    Vardas6042     3.99                4.20                
Pavarde6043    Vardas6043     4.75                4.40                
Pavarde6044    Vardas6044     6.80                6.80                
Pavarde6045    Vardas6045     3.17                2.80                
Pavarde6046    Vardas6046     4.41                5.00                
Pavarde6047    Vardas6047     4.96                4.80                
Pavarde6048    Vardas6048     6.57                6.20                
Pavarde6049    Vardas6049     5.92                6.00                
Pavarde6050    Vardas6050     3.09                3.20                
Pavarde6051    Vardas6051     7.84                8.00                
Pavarde6052    Vardas6052     5.40                5.80                
Pavarde6053    Vardas6053     6.19                6.80                
Pavarde6054    Vardas6054     7.99                8.20                
Pavarde6055    Vardas6055     7.59                7.40                
Pavarde6056    Vardas6056     5.89                6.00                
Pavarde6057    Vardas6057     2.89                3.00                
Pavarde6058    Vardas6058     8.13                7.60                
Pavarde6059    Vardas6059     7.09                6.80                
Pavarde6060    Vardas6060     5.87                6.00                
Pavarde6061    Vardas6061     5.79                6.00                
Pavarde6062    Vardas6062     5.88                5.40                
Pavarde6063    Vardas6063     6.52                7.00                
Pavarde6064    Vardas6064     6.12                6.20                
Pavarde6065    Vardas6065     6.16                6.80                
Pavarde6066    Vardas6066     7.51                7.40                
Pavarde6067    Vardas6067     4.99                5.20                
Pavarde6068    Vardas6068     7.51                7.40                
Pavarde6069    Vardas6069     5.29                5.40                
Pavarde6070    Vardas6070     3.17                2.80                
Pavarde6071    Vardas6071     7.81                7.60                
Pavarde6072    Vardas6072     4.67                5.20                
Pavarde6073    Vardas6073     3.36                3.60                
Pavarde6074    Vardas6074     4.47                4.20                
Pavarde6075    Vardas6075     4.69                4.80                
Pavarde6076    Vardas6076     8.56                8.80                
Pavarde6077    Vardas6077     8.05                8.00                
Pavarde6078    Vardas6078     7.75                7.80                
Pavarde6079    Vardas6079     3.32                3.00                
Pavarde6080    Vardas6080     6.15                6.20                
Pavarde6081    Vardas6081     5.55                5.20                
Pavarde6082    Vardas6082     8.43                8.40                
Pavarde6083    Vardas6083     7.71                7.60                
Pavarde6084    Vardas6084     7.15                7.60                
Pavarde6085    Vardas6085     6.00                6.40                
Pavarde6086    Vardas6086     5.37                5.40                
Pavarde6087    Vardas6087     2.39                2.20                
Pavarde6088    Vardas6088     6.12                5.80                
Pavarde6089    Vardas6089     3.21                3.80                
Pavarde6090    Vardas6090     5.84                6.40                
Pavarde6091    Vardas6091     8.53                8.80                
Pavarde6092    Vardas6092     5.35                5.40                
Pavarde6093    Vardas6093     6.31                6.20                
Pavarde6094    Vardas6094     3.96                3.40                
Pavarde6095    Vardas6095     5.40                5.80                
Pavarde6096    Vardas6096     4.08                4.40                
Pavarde6097    Vardas6097     7.76                7.20                
Pavarde6098    Vardas6098     7.64                6.60                
Pavarde6099    Vardas6099     8.56                8.80                
Pavarde6100    Vardas6100     4.40                4.40                
Pavarde6101    Vardas6101     5.89                6.00                
Pavarde6102    Vardas6102     6.57                6.20                
Pavarde6103    Vardas6103     5.68                5.60                
Pavarde6104    Vardas6104     6.87                7.40                
Pavarde6105    Vardas6105     2.55                2.60                
Pavarde6106    Vardas6106     5.32                5.80                
Pavarde6107    Vardas6107     2.68                2.60                
Pavarde6108    Vardas6108     5.27                5.00                
Pavarde6109    Vardas6109     2.85                2.80                
Pavarde6110    Vardas6110     6.32                6.40                
Pavarde6111    Vardas6111     5.37                5.80                
Pavarde6112    Vardas6112     6.39                6.20                
Pavarde6113    Vardas6113     6.68                7.00                
Pavarde6114    Vardas6114     5.52                5.60                
Pavarde6115    Vardas6115     7.07                7.20                
Pavarde6116    Vardas6116     5.01                5.60                
Pavarde6117    Vardas6117     7.95                8.00                
Pavarde6118    Vardas6118     6.91                6.80                
Pavarde6119    Vardas6119     3.96                3.80                
Pavarde6120    Vardas6120     5.92                6.00                
Pavarde6121    Vardas6121     4.81                5.00                
Pavarde6122    Vardas6122     6.49                7.00                
Pavarde6123    Vardas6123     7.17                7.20                
Pavarde6124    Vardas6124     4.64                4.40                
Pavarde6125    Vardas6125     5.87                6.00                
Pavarde6126    Vardas6126     7.53                7.40                
Pavarde6127    Vardas6127     6.84                7.00                
Pavarde6128    Vardas6128     3.67                3.40                
Pavarde6129    Vardas6129     4.67                4.80                
Pavarde6130    Vardas6130     4.92                4.60                
Pavarde6131    Vardas6131     5.63                5.20                
Pavarde6132    Vardas6132     5.71                5.60                
Pavarde6133    Vardas6133     4.51                4.00                
Pavarde6134    Vardas6134     6.03                6.40                
Pavarde6135    Vardas6135     8.19                8.00                
Pavarde6136    Vardas6136     7.17                7.20                
Pavarde6137    Vardas6137     4.51                4.40                
Pavarde6138    Vardas6138     4.83                4.80                
Pavarde6139    Vardas6139     7.80                7.80                
Pavarde6140    Vardas6140     3.20                3.20                
Pavarde6141    Vardas6141     5.97                6.00                
Pavarde6142    Vardas6142     8.24                7.60                
Pavarde6143    Vardas6143     4.53                4.40                
Pavarde6144    Vardas6144     3.65                3.60                
Pavarde6145    Vardas6145     5.00                5.40                
Pavarde6146    Vardas6146     5.79                6.00                
Pavarde6147    Vardas6147     7.12                7.20                
Pavarde6148    Vardas6148     4.81                5.00                
Pavarde6149    Vardas6149     5.37                5.40                
Pavarde6150    Vardas6150     5.95                6.00                
Pavarde6151    Vardas6151     4.48                4.40                
Pavarde6152    Vardas6152     6.71                6.60                
Pavarde6153    Vardas6153     5.24                5.40                
Pavarde6154    Vardas6154     7.69                8.20                
Pavarde6155    Vardas6155     2.95                3.00                
Pavarde6156    Vardas6156     7.81                7.20                
Pavarde6157    Vardas6157     4.87                4.60                
Pavarde6158    Vardas6158     7.75                7.80                
Pavarde6159    Vardas6159     4.25                4.20                
Pavarde6160    Vardas6160     3.39                3.60                
Pavarde6161    Vardas6161     5.32                5.40                
Pavarde6162    Vardas6162     4.47                5.00                
Pavarde6163    Vardas6163     6.60                6.60                
Pavarde6164    Vardas6164     3.20                3.60                
Pavarde6165    Vardas6165     4.75                4.80                
Pavarde6166    Vardas6166     6.28                6.60                
Pavarde6167    Vardas6167     5.81                5.60                
Pavarde6168    Vardas6168     5.11                5.00                
Pavarde6169    Vardas6169     2.52                3.00                
Pavarde6170    Vardas6170     6.99                6.80                
Pavarde6171    Vardas6171     7.08                6.60                
Pavarde6172    Vardas6172     5.29                5.00                
Pavarde6173    Vardas6173     4.23                4.20                
Pavarde6174    Vardas6174     7.00                7.00                
Pavarde6175    Vardas6175     6.29                6.00                
Pavarde6176    Vardas6176     4.97                4.60                
Pavarde6177    Vardas6177     3.76                4.00                
Pavarde6178    Vardas6178     6.99                6.80                
Pavarde6179    Vardas6179     4.48                4.40                
Pavarde6180    Vardas6180     2.36                2.20                
Pavarde6181    Vardas6181     3.09                2.80                
Pavarde6182    Vardas6182     7.64                7.40                
Pavarde6183    Vardas6183     4.17                4.20                
Pavarde6184    Vardas6184     6.39                5.80                
Pavarde6185    Vardas6185     7.01                6.80                
Pavarde6186    Vardas6186     4.47                4.60                
Pavarde6187    Vardas6187     2.52                1.80                
Pavarde6188    Vardas6188     5.33                5.20                
Pavarde6189    Vardas6189     2.95                2.60                
Pavarde6190    Vardas6190     7.13                7.40                
Pavarde6191    Vardas6191     8.19                8.00                
Pavarde6192    Vardas6192     8.00                7.60                
Pavarde6193    Vardas6193     7.89                7.60                
Pavarde6194    Vardas6194     3.56                3.40                
Pavarde6195    Vardas6195     8.04                8.60                
Pavarde6196    Vardas6196     4.01                3.80                
Pavarde6197    Vardas6197     5.08                5.00                
Pavarde6198    Vardas6198     6.71                6.60                
Pavarde6199    Vardas6199     5.03                5.00                
Pavarde6200    Vardas6200     4.43                4.40                
Pavarde6201    Vardas6201     3.64                3.80                
Pavarde6202    Vardas6202     7.51                7.00                
Pavarde6203    Vardas6203     6.31                6.20                
Pavarde6204    Vardas6204     8.13                8.00                
Pavarde6205    Vardas6205     3.77                3.80                
Pavarde6206    Vardas6206     4.12                4.20                
Pavarde6207    Vardas6207     3.13                3.40                
Pavarde6208    Vardas6208     3.49                3.60                
Pavarde6209    Vardas6209     6.67                6.80                
Pavarde6210    Vardas6210     4.59                4.40                
Pavarde6211    Vardas6211     3.33                3.20                
Pavarde6212    Vardas6212     4.19                4.00                
Pavarde6213    Vardas6213     3.28                3.20                
Pavarde6214    Vardas6214     3.03                3.00                
Pavarde6215    Vardas6215     6.44                6.20                
Pavarde6216    Vardas6216     8.61                8.80                
Pavarde6217    Vardas6217     7.83                7.80                
Pavarde6218    Vardas6218     6.36                6.60                
Pavarde6219    Vardas6219     5.43                5.40                
Pavarde6220    Vardas6220     6.88                6.80                
Pavarde6221    Vardas6221     6.91                6.80                
Pavarde6222    Vardas6222     3.08                3.40                
Pavarde6223    Vardas6223     7.83                8.60                
Pavarde6224    Vardas6224     2.80                2.40                
Pavarde6225    Vardas6225     4.89                4.60                
Pavarde6226    Vardas6226     7.92                7.60                
Pavarde6227    Vardas6227     5.31                5.20                
Pavarde6228    Vardas6228     5.27                5.40                
Pavarde6229    Vardas6229     5.24                5.00                
Pavarde6230    Vardas6230     3.17                2.80                
Pavarde6231    Vardas6231     4.64                4.40                
Pavarde6232    Vardas6232     2.71                2.60                
Pavarde6233    Vardas6233     7.61                7.40                
Pavarde6234    Vardas6234     6.00                6.00                
Pavarde6235    Vardas6235     4.60                4.20                
Pavarde6236    Vardas6236     4.04                3.80                
Pavarde6237    Vardas6237     7.48                7.40                
Pavarde6238    Vardas6238     5.35                5.40                
Pavarde6239    Vardas6239     4.48                4.40                
Pavarde6240    Vardas6240     3.05                3.00                
Pavarde6241    Vardas6241     5.53                5.80                
Pavarde6242    Vardas6242     4.72                4.80                
Pavarde6243    Vardas6243     6.33                6.60                
Pavarde6244    Vardas6244     2.97                3.00                
Pavarde6245    Vardas6245     6.35                6.80                
Pavarde6246    Vardas6246     6.72                6.00                
Pavarde6247    Vardas6247     5.81                6.00                
Pavarde6248    Vardas6248     2.68                3.40                
Pavarde6249    Vardas6249     6.40                6.80                
Pavarde6250    Vardas6250     7.56                8.20                
Pavarde6251    Vardas6251     6.75                6.80                
Pavarde6252    Vardas6252     5.57                4.80                
Pavarde6253    Vardas6253     6.05                6.00                
Pavarde6254    Vardas6254     5.97                6.00                
Pavarde6255    Vardas6255     3.49                3.60                
Pavarde6256    Vardas6256     4.93                5.20                
Pavarde6257    Vardas6257     4.43                4.00                
Pavarde6258    Vardas6258     6.79                7.00                
Pavarde6259    Vardas6259     7.53                7.80                
Pavarde6260    Vardas6260     2.97                3.40                
Pavarde6261    Vardas6261     7.47                7.60                
Pavarde6262    Vardas6262     5.01                5.60                
Pavarde6263    Vardas6263     2.76                3.00                
Pavarde6264    Vardas6264     8.83                8.80                
Pavarde6265    Vardas6265     4.49                5.00                
Pavarde6266    Vardas6266     4.23                3.80                
Pavarde6267    Vardas6267     5.25                5.20                
Pavarde6268    Vardas6268     4.72                4.40                
Pavarde6269    Vardas6269     8.01                8.20                
Pavarde6270    Vardas6270     6.64                6.40                
Pavarde6271    Vardas6271     6.91                6.80                
Pavarde6272    Vardas6272     4.69                4.80                
Pavarde6273    Vardas6273     5.00                5.00                
Pavarde6274    Vardas6274     6.15                6.20                
Pavarde6275    Vardas6275     3.51                3.40                
Pavarde6276    Vardas6276     4.84                5.00                
Pavarde6277    Vardas6277     7.64                7.40                
Pavarde6278    Vardas6278     5.80                5.80                
Pavarde6279    Vardas6279     7.97                8.00                
Pavarde6280    Vardas6280     3.68                3.60                
Pavarde6281    Vardas6281     7.43                7.40                
Pavarde6282    Vardas6282     4.56                4.40                
Pavarde6283    Vardas6283     3.72                3.80                
Pavarde6284    Vardas6284     5.95                6.00                
Pavarde6285    Vardas6285     6.67                6.80                
Pavarde6286    Vardas6286     4.73                4.60                
Pavarde6287    Vardas6287     5.59                5.80                
Pavarde6288    Vardas6288     6.17                6.20                
Pavarde6289    Vardas6289     7.60                8.00                
Pavarde6290    Vardas6290     7.88                8.20                
Pavarde6291    Vardas6291     7.20                7.20                
Pavarde6292    Vardas6292     3.00                2.60                
Pavarde6293    Vardas6293     7.83                8.60                
Pavarde6294    Vardas6294     7.67                7.40                
Pavarde6295    Vardas6295     4.48                4.00                
Pavarde6296    Vardas6296     4.64                4.40                
Pavarde6297    Vardas6297     3.20                3.60                
Pavarde6298    Vardas6298     7.09                7.20                
Pavarde6299    Vardas6299     4.99                5.60                
Pavarde6300    Vardas6300     6.61                6.40                
Pavarde6301    Vardas6301     3.03                3.00                
Pavarde6302    Vardas6302     2.84                3.00                
Pavarde6303    Vardas6303     7.83                7.80                
Pavarde6304    Vardas6304     3.36                3.60                
Pavarde6305    Vardas6305     7.35                7.40                
Pavarde6306    Vardas6306     6.25                6.20                
Pavarde6307    Vardas6307     7.87                7.60                
Pavarde6308    Vardas6308     2.63                2.60                
Pavarde6309    Vardas6309     4.03                4.00                
Pavarde6310    Vardas6310     6.36                5.80                
Pavarde6311    Vardas6311     6.92                7.00                
Pavarde6312    Vardas6312     2.65                2.60                
Pavarde6313    Vardas6313     2.76                2.60                
Pavarde6314    Vardas6314     2.79                3.00                
Pavarde6315    Vardas6315     5.92                6.00                
Pavarde6316    Vardas6316     7.73                7.60                
Pavarde6317    Vardas6317     7.43                7.40                
Pavarde6318    Vardas6318     7.95                7.60                
Pavarde6319    Vardas6319     5.95                5.60                
Pavarde6320    Vardas6320     6.47                6.60                
Pavarde6321    Vardas6321     8.11                8.40                
Pavarde6322    Vardas6322     4.09                3.80                
Pavarde6323    Vardas6323     3.33                3.20                
Pavarde6324    Vardas6324     4.59                4.80                
Pavarde6325    Vardas6325     3.19                3.80                
Pavarde6326    Vardas6326     6.39                6.20                
Pavarde6327    Vardas6327     2.88                2.80                
Pavarde6328    Vardas6328     3.68                3.60                
Pavarde6329    Vardas6329     4.92                4.60                
Pavarde6330    Vardas6330     3.07                2.80                
Pavarde6331    Vardas6331     8.59                8.80                
Pavarde6332    Vardas6332     7.61                7.40                
Pavarde6333    Vardas6333     5.29                5.40                
Pavarde6334    Vardas6334     7.59                7.80                
Pavarde6335    Vardas6335     3.41                3.20                
Pavarde6336    Vardas6336     5.93                5.80                
Pavarde6337    Vardas6337     6.63                6.60                
Pavarde6338    Vardas6338     4.73                4.60                
Pavarde6339    Vardas6339     8.21                8.40                
Pavarde6340    Vardas6340     7.09                7.60                
Pavarde6341    Vardas6341     5.28                4.80                
Pavarde6342    Vardas6342     8.32                8.80                
Pavarde6343    Vardas6343     6.92                7.40                
Pavarde6344    Vardas6344     4.56                4.40                
Pavarde6345    Vardas6345     7.47                7.20                
Pavarde6346    Vardas6346     6.33                6.20                
Pavarde6347    Vardas6347     3.36                3.20                
Pavarde6348    Vardas6348     6.41                6.20                
Pavarde6349    Vardas6349     7.80                7.80                
Pavarde6350    Vardas6350     6.77                6.80                
Pavarde6351    Vardas6351     7.04                7.20                
Pavarde6352    Vardas6352     5.01                5.20                
Pavarde6353    Vardas6353     2.84                3.00                
Pavarde6354    Vardas6354     5.19                5.40                
Pavarde6355    Vardas6355     3.31                3.20                
Pavarde6356    Vardas6356     7.21                7.40                
Pavarde6357    Vardas6357     4.31                5.00                
Pavarde6358    Vardas6358     5.75                6.20                
Pavarde6359    Vardas6359     5.93                6.60                
Pavarde6360    Vardas6360     5.89                6.00                
Pavarde6361    Vardas6361     6.00                6.00                
Pavarde6362    Vardas6362     4.25                4.60                
Pavarde6363    Vardas6363     3.12                2.80                
Pavarde6364    Vardas6364     3.92                3.20                
Pavarde6365    Vardas6365     4.09                4.20                
Pavarde6366    Vardas6366     6.25                6.20                
Pavarde6367    Vardas6367     7.09                7.20                
Pavarde6368    Vardas6368     2.44                2.60                
Pavarde6369    Vardas6369     4.21                4.40                
Pavarde6370    Vardas6370     5.92                6.40                
Pavarde6371    Vardas6371     7.44                7.20                
Pavarde6372    Vardas6372     3.52                3.20                
Pavarde6373    Vardas6373     5.19                4.60                
Pavarde6374    Vardas6374     7.95                7.60                
Pavarde6375    Vardas6375     2.84                2.60                
Pavarde6376    Vardas6376     2.99                2.80                
Pavarde6377    Vardas6377     3.00                3.00                
Pavarde6378    Vardas6378     5.21                5.40                
Pavarde6379    Vardas6379     4.33                5.00                
Pavarde6380    Vardas6380     3.41                3.60                
Pavarde6381    Vardas6381     6.15                6.20                
Pavarde6382    Vardas6382     4.43                4.40                
Pavarde6383    Vardas6383     6.21                6.00                
Pavarde6384    Vardas6384     5.05                5.00                
Pavarde6385    Vardas6385     5.15                4.80                
Pavarde6386    Vardas6386     6.12                6.20                
Pavarde6387    Vardas6387     7.97                8.00                
Pavarde6388    Vardas6388     3.12                3.60                
Pavarde6389    Vardas6389     8.16                8.00                
Pavarde6390    Vardas6390     6.47                6.20                
Pavarde6391    Vardas6391     2.65                2.60                
Pavarde6392    Vardas6392     4.36                4.60                
Pavarde6393    Vardas6393     2.60                2.60                
Pavarde6394    Vardas6394     2.79                3.00                
Pavarde6395    Vardas6395     8.51                8.80                
Pavarde6396    Vardas6396     4.96                5.60                
Pavarde6397    Vardas6397     3.39                3.20                
Pavarde6398    Vardas6398     3.33                2.80                
Pavarde6399    Vardas6399     7.44                8.00                
Pavarde6400    Vardas6400     7.97                8.00                
Pavarde6401    Vardas6401     7.91                8.20                
Pavarde6402    Vardas6402     6.25                6.20                
Pavarde6403    Vardas6403     8.00                8.00                
Pavarde6404    Vardas6404     2.60                3.00                
Pavarde6405    Vardas6405     8.16                8.00                
Pavarde6406    Vardas6406     8.21                8.40                
Pavarde6407    Vardas6407     7.43                7.40                
Pavarde6408    Vardas6408     4.97                5.00                
Pavarde6409    Vardas6409     3.36                3.60                
Pavarde6410    Vardas6410     5.89                6.40                
Pavarde6411    Vardas6411     6.65                7.00                
Pavarde6412    Vardas6412     6.41                6.20                
Pavarde6413    Vardas6413     4.53                4.40                
Pavarde6414    Vardas6414     4.17                4.20                
Pavarde6415    Vardas6415     6.21                6.40                
Pavarde6416    Vardas6416     2.65                2.60                
Pavarde6417    Vardas6417     8.32                8.40                
Pavarde6418    Vardas6418     6.89                7.40                
Pavarde6419    Vardas6419     5.19                5.00                
Pavarde6420    Vardas6420     6.08                6.00                
Pavarde6421    Vardas6421     5.92                6.00                
Pavarde6422    Vardas6422     7.21                7.00                
Pavarde6423    Vardas6423     7.40                7.40                
Pavarde6424    Vardas6424     6.55                6.60                
Pavarde6425    Vardas6425     7.33                7.60                
Pavarde6426    Vardas6426     4.60                5.00                
Pavarde6427    Vardas6427     5.19                5.00                
Pavarde6428    Vardas6428     7.51                7.00                
Pavarde6429    Vardas6429     5.69                6.20                
Pavarde6430    Vardas6430     7.64                7.40                
Pavarde6431    Vardas6431     8.08                7.60                
Pavarde6432    Vardas6432     7.56                7.00                
Pavarde6433    Vardas6433     5.28                5.20                
Pavarde6434    Vardas6434     3.25                3.20                
Pavarde6435    Vardas6435     3.55                4.00                
Pavarde6436    Vardas6436     6.47                6.60                
Pavarde6437    Vardas6437     6.15                6.20                
Pavarde6438    Vardas6438     5.27                5.80                
Pavarde6439    Vardas6439     3.41                3.20                
Pavarde6440    Vardas6440     4.04                3.80                
Pavarde6441    Vardas6441     5.59                5.80                
Pavarde6442    Vardas6442     6.64                6.40                
Pavarde6443    Vardas6443     3.68                4.40                
Pavarde6444    Vardas6444     5.92                5.60                
Pavarde6445    Vardas6445     4.48                4.00                
Pavarde6446    Vardas6446     3.87                4.00                
Pavarde6447    Vardas6447     8.16                8.00                
Pavarde6448    Vardas6448     5.32                5.40                
Pavarde6449    Vardas6449     7.44                7.60                
Pavarde6450    Vardas6450     2.63                2.20                
Pavarde6451    Vardas6451     7.29                6.60                
Pavarde6452    Vardas6452     2.52                2.60                
Pavarde6453    Vardas6453     6.49                6.60                
Pavarde6454    Vardas6454     7.35                7.00                
Pavarde6455    Vardas6455     7.29                7.40                
Pavarde6456    Vardas6456     4.69                4.80                
Pavarde6457    Vardas6457     3.49                4.00                
Pavarde6458    Vardas6458     7.51                7.80                
Pavarde6459    Vardas6459     7.29                7.40                
Pavarde6460    Vardas6460     3.20                3.20                
Pavarde6461    Vardas6461     5.89                6.00                
Pavarde6462    Vardas6462     8.48                8.40                
Pavarde6463    Vardas6463     4.51                4.80                
Pavarde6464    Vardas6464     3.31                2.80                
Pavarde6465    Vardas6465     6.55                7.00                
Pavarde6466    Vardas6466     3.73                3.60                
Pavarde6467    Vardas6467     7.37                7.80                
Pavarde6468    Vardas6468     7.80                7.80                
Pavarde6469    Vardas6469     3.08                3.40                
Pavarde6470    Vardas6470     8.32                8.40                
Pavarde6471    Vardas6471     6.72                6.80                
Pavarde6472    Vardas6472     4.41                4.60                
Pavarde6473    Vardas6473     4.73                4.20                
Pavarde6474    Vardas6474     2.71                2.60                
Pavarde6475    Vardas6475     7.40                7.40                
Pavarde6476    Vardas6476     3.25                3.20                
Pavarde6477    Vardas6477     7.95                8.00                
Pavarde6478    Vardas6478     3.39                3.20                
Pavarde6479    Vardas6479     7.33                7.20                
Pavarde6480    Vardas6480     8.37                8.80                
Pavarde6481    Vardas6481     2.60                2.20                
Pavarde6482    Vardas6482     7.01                7.60                
Pavarde6483    Vardas6483     2.92                3.00                
Pavarde6484    Vardas6484     4.27                4.40                
Pavarde6485    Vardas6485     4.51                4.40                
Pavarde6486    Vardas6486     5.37                5.00                
Pavarde6487    Vardas6487     2.84                2.60                
Pavarde6488    Vardas6488     8.09                8.20                
Pavarde6489    Vardas6489     6.29                6.80                
Pavarde6490    Vardas6490     5.20                5.20                
Pavarde6491    Vardas6491     3.87                4.40                
Pavarde6492    Vardas6492     7.88                8.20                
Pavarde6493    Vardas6493     6.77                7.20                
Pavarde6494    Vardas6494     3.31                3.20                
Pavarde6495    Vardas6495     8.56                8.80                
Pavarde6496    Vardas6496     6.72                6.80                
Pavarde6497    Vardas6497     7.60                8.00                
Pavarde6498    Vardas6498     8.13                8.40                
Pavarde6499    Vardas6499     2.41                1.80                
Pavarde6500    Vardas6500     6.47                6.60                
Pavarde6501    Vardas6501     4.83                5.20                
Pavarde6502    Vardas6502     5.51                5.40                
Pavarde6503    Vardas6503     3.55                3.60                
Pavarde6504    Vardas6504     5.21                5.40                
Pavarde6505    Vardas6505     5.08                5.00                
Pavarde6506    Vardas6506     8.16                8.00                
Pavarde6507    Vardas6507     6.36                6.20                
Pavarde6508    Vardas6508     7.17                7.20                
Pavarde6509    Vardas6509     8.11                8.00                
Pavarde6510    Vardas6510     3.69                3.80                
Pavarde6511    Vardas6511     8.51                8.80                
Pavarde6512    Vardas6512     3.41                3.20                
Pavarde6513    Vardas6513     4.95                4.60                
Pavarde6514    Vardas6514     4.21                4.40                
Pavarde6515    Vardas6515     5.32                5.40                
Pavarde6516    Vardas6516     4.25                4.20                
Pavarde6517    Vardas6517     4.87                4.60                
Pavarde6518    Vardas6518     6.91                6.80                
Pavarde6519    Vardas6519     3.96                3.80                
Pavarde6520    Vardas6520     8.24                8.40                
Pavarde6521    Vardas6521     7.68                7.60                
Pavarde6522    Vardas6522     6.07                6.20                
Pavarde6523    Vardas6523     4.61                4.40                
Pavarde6524    Vardas6524     8.05                8.00                
Pavarde6525    Vardas6525     8.56                8.80                
Pavarde6526    Vardas6526     2.97                2.60                
Pavarde6527    Vardas6527     5.23                4.80                
Pavarde6528    Vardas6528     8.75                9.20                
Pavarde6529    Vardas6529     2.79                2.60                
Pavarde6530    Vardas6530     8.03                8.00                
Pavarde6531    Vardas6531     7.97                7.60                
Pavarde6532    Vardas6532     6.93                6.80                
Pavarde6533    Vardas6533     5.79                5.60                
Pavarde6534    Vardas6534     3.91                3.80                
Pavarde6535    Vardas6535     2.84                3.00                
Pavarde6536    Vardas6536     6.77                6.80                
Pavarde6537    Vardas6537     7.77                7.80                
Pavarde6538    Vardas6538     7.17                7.20                
Pavarde6539    Vardas6539     6.65                7.00                
Pavarde6540    Vardas6540     3.03                3.40                
Pavarde6541    Vardas6541     7.35                7.40                
Pavarde6542    Vardas6542     8.56                8.80                
Pavarde6543    Vardas6543     3.28                3.20                
Pavarde6544    Vardas6544     2.68                2.20                
Pavarde6545    Vardas6545     7.92                8.00                
Pavarde6546    Vardas6546     7.20                7.60                
Pavarde6547    Vardas6547     8.00                7.20                
Pavarde6548    Vardas6548     4.84                4.20                
Pavarde6549    Vardas6549     4.37                4.00                
Pavarde6550    Vardas6550     6.77                6.80                
Pavarde6551    Vardas6551     5.27                5.80                
Pavarde6552    Vardas6552     4.08                4.00                
Pavarde6553    Vardas6553     6.76                7.00                
Pavarde6554    Vardas6554     2.68                2.60                
Pavarde6555    Vardas6555     5.63                4.80                
Pavarde6556    Vardas6556     3.35                3.80                
Pavarde6557    Vardas6557     7.69                7.80                
Pavarde6558    Vardas6558     7.35                7.00                
Pavarde6559    Vardas6559     7.69                7.80                
Pavarde6560    Vardas6560     6.88                6.80                
Pavarde6561    Vardas6561     4.04                3.80                
Pavarde6562    Vardas6562     6.61                6.40                
Pavarde6563    Vardas6563     8.48                8.80                
Pavarde6564    Vardas6564     7.97                8.00                
Pavarde6565    Vardas6565     4.61                4.40                
Pavarde6566    Vardas6566     6.49                6.60                
Pavarde6567    Vardas6567     3.31                3.20                
Pavarde6568    Vardas6568     4.09                4.20                
Pavarde6569    Vardas6569     8.01                8.20                
Pavarde6570    Vardas6570     4.56                4.40                
Pavarde6571    Vardas6571     2.49                2.20                
Pavarde6572    Vardas6572     7.99                7.80                
Pavarde6573    Vardas6573     4.64                4.80                
Pavarde6574    Vardas6574     4.61                4.80                
Pavarde6575    Vardas6575     7.16                7.00                
Pavarde6576    Vardas6576     5.87                6.00                
Pavarde6577    Vardas6577     5.40                5.80                
Pavarde6578    Vardas6578     7.64                7.80                
Pavarde6579    Vardas6579     7.15                6.80                
Pavarde6580    Vardas6580     3.76                4.00                
Pavarde6581    Vardas6581     7.11                7.00                
Pavarde6582    Vardas6582     8.45                8.80                
Pavarde6583    Vardas6583     3.93                4.20                
Pavarde6584    Vardas6584     5.08                5.00                
